year,month,nethours
2005,01,1155.99
2005,02,1379.5
2005,03,1719.16
2005,04,1492
2005,05,2990.5
2005,06,3104
2005,07,3044
2005,08,3019.8
2005,09,2946.25
2005,10,2786.6
2005,11,2260.66
2005,12,1115.66
2006,01,1661.31
2006,02,1326.55
2006,03,1251.51
2006,04,1368.91
2006,05,2919.5
2006,06,3023
2006,07,2722
2006,08,3102.5
2006,09,3058
2006,10,3094.5
2006,11,2426.53
2006,12,1451
2007,01,1829
2007,02,1360
2007,03,1642.82
2007,04,1377.5
2007,05,2599.95
2007,06,2967.5
2007,07,3144.5
2007,08,3391
2007,09,2936.17
2007,10,2759.49
2007,11,2758.5
2007,12,2719.49
2008,01,1277
2008,02,1353
2008,03,1925
2008,04,1611.85
2008,05,2855.5
2008,06,2866.5
2008,07,2962
2008,08,3319.75
2008,09,2984
2008,10,3053.5
2008,11,2480.9
2008,12,1752.5
2009,01,1582
2009,02,1129.4
2009,03,1536.22
2009,04,1515.66
2009,05,2948
2009,06,3231
2009,07,2983
2009,08,3061.35
2009,09,3147.6
2009,10,2923.51
2009,11,2531.95
2009,12,1959.23
2010,01,1627.96
2010,02,1423.34
2010,03,1694.75
2010,04,1508.58
2010,05,2555.16
2010,06,2728.75
2010,07,3317.5
2010,08,3082.83
2010,09,2766.34
2010,10,2558.84
2010,11,2341.94
2010,12,1192.51
2011,01,1494.83
2011,02,1587
2011,03,1529.1299999999999
2011,04,1435.37
2011,05,2414.39
2011,06,2785.02
2011,07,2645.83
2011,08,3149.17
2011,09,3165.68
2011,10,3249.02
2011,11,2535.21
2011,12,1925.5
2012,01,1433.51
2012,02,1434.25
2012,03,1212.76
2012,04,1895.27
2012,05,2999.85
2012,06,2985
2012,07,3017.34
2012,08,2955.16
2012,09,2824.83
2012,10,2851.4
2012,11,2290.56
2012,12,1294.86
2013,01,1564.03
2013,02,1445.62
2013,03,1513.32
2013,04,1457.59
2013,05,2339.14
2013,06,2316.17
2013,07,2789
2013,08,3460.26
2013,09,2745.59
2013,10,1840.5
2013,11,2861.16
2013,12,1854.66
2014,01,1561.16
2014,02,1349.83
2014,03,1513.6
2014,04,1387.93
2014,05,3010.94
2014,06,3229.08
2014,07,3213.88
2014,08,3153.42
2014,09,2848
2014,10,2927.75
2014,11,2290.98
2014,12,1732.2
2015,01,1887
2015,02,1756.8
2015,03,1557
2015,04,1421.6
2015,05,3093.4
2015,06,2950.67
2015,07,2879.9
2015,08,3106.33
2015,09,2801.56
2015,10,2922.25
2015,11,2685.87
2015,12,1670.75
2016,01,1597.77
2016,02,1533.5
2016,03,1388.49
2016,04,1638.07
2016,05,2997.33
2016,06,2925.9
2016,07,2680.92
2016,08,3355.73
2016,09,2995.67
2016,10,2568.47
2016,11,2644.7
2016,12,1878.51
2017,01,1616.87
2017,02,1260.32
2017,03,1674.9
2017,04,1708.05
2017,05,3091.98
2017,06,2884
2017,07,2888
2017,08,3052.34
2017,09,2907.91
2017,10,2738.34
2017,11,2470.5
2017,12,1764.55
2018,01,1642.91
2018,02,1358.83
2018,03,1397.08
2018,04,1574.38
2018,05,2771.32
2018,06,3014.11
2018,07,2831.62
2018,08,3116.94
2018,09,2864.7
2018,10,2630
2018,11,1410
2018,12,1662.6
2019,01,1346.27
2019,02,1292
2019,03,1222.03
2019,04,1727.93
2019,05,2916.56
2019,06,3192.55
2019,07,2850.66
2019,08,3160.67
2019,09,2686.14
2019,10,2706.99
2019,11,2792.55
2019,12,1294.72
2020,01,1465.25
2020,02,1566.5
2020,03,1719.74
2020,04,1860.95
2020,05,3132.84
2020,06,3008.75
2020,07,2915.68
2020,08,1735
2020,09,2903.5
2020,10,3403.18
2020,11,2615.67
2020,12,2003
2021,01,1701.5
2021,02,1232.5
2021,03,1444.49
2021,04,1508.5
2021,05,2556.5
2021,06,2673.67
2021,07,2852
2021,08,2333.84
2021,09,2302.51
2021,10,2457.51
2021,11,2385.41
2021,12,1115.87
2022,01,1724.14
2022,02,1561.34
2022,03,1403.71
2022,04,1306.48
2022,05,2785.5
2022,06,2771.42
2022,07,2726.43
2022,08,3046.69
2022,09,2770.66
2022,10,3080
2022,11,2391.5
2022,12,1675.41
2023,01,1604.67
2023,02,1194.5
2023,03,1205.36
